,time_t_15,location_lat,location_lon,wifi_connected,sensor_light_mean,sensor_accelerometer_x_mean,sensor_accelerometer_y_mean,sensor_accelerometer_z_mean,sensor_gravity_x_mean,sensor_gravity_y_mean,sensor_gravity_z_mean,sensor_gyroscope_x_mean,sensor_gyroscope_y_mean,sensor_gyroscope_z_mean,sensor_linear_acc_x_mean,sensor_linear_acc_y_mean,sensor_linear_acc_z_mean,sensor_rotation_vec_x_mean,sensor_rotation_vec_y_mean,sensor_rotation_vec_z_mean,sensor_proximity_mean,label,activity_label,uid
0,2018-03-12 16:00:00,43.71991740000001,10.4220359,0,6417.333333333333,-0.0555000001463728,0.0199166666824991,9.93298488299052,-0.055618830975145,0.019944894205934,9.806469942728675,0.0413002923565605,0.0074402700962187,0.0020279331729882,6.136592167120005e-05,-9.089996494970002e-05,0.1265549405415852,0.0026498445018659,-0.0008978566157262,-0.9298868063092232,0.6666666666666666,Working,activity_rec_still,3
1,2018-03-12 16:15:00,43.71991739999999,10.4220359,0,6040.027481326635,0.0474429999830511,-0.4187506646388209,9.267273574704303,0.0467929566989962,-0.4195436761814539,9.149700247685423,0.0439221064895391,0.0055245582393059,0.0039018118601427,-0.0005126580066668,0.0039655112844581,0.1142525734590987,-0.0272206341801053,0.0128876747719932,-0.8829192796069208,0.6444444444444444,Working,activity_rec_still,3
2,2018-03-12 16:30:00,43.7184563,10.42305485,0,352.72576115630386,-0.0110559082031249,-0.061413402557373,9.90269723892212,-0.0228096702427137,-0.0404493181484576,9.806376330852508,0.0001776885986328,0.000252456665039,5.508422851560003e-05,0.0007590324922057,-0.000138021208113,0.000673085451126,-0.0023594051389624,0.0001222670149855,0.4453191681951284,3.7502288818359375,Break,activity_rec_still,1
3,2018-03-12 16:30:00,43.719524754545446,10.42231427272727,0,5661.30343461442,0.3424581809917636,-8.678618621826173,-0.1151022702982558,0.3724180549788367,-8.55756716452539,-0.1655545431824237,0.032932563118335,-0.0291237921678773,-0.0784054576290309,-0.0311590268403631,-0.1109796522151339,0.0548224007708698,-0.453492185684048,-0.3011742770589823,0.2433106512578161,0.4848484848484848,Break,activity_rec_on_foot,3
4,2018-03-12 16:45:00,43.718562983333335,10.422837733333331,0,73.24588228255978,0.1852708053588865,-9.787095069885254,-0.9718054072062174,0.5218709119509533,-9.63311911533344,0.3661115954739013,-0.0114281116753748,-0.0026094679713519,0.0096190462955811,0.0157290076964787,-0.0631147928896559,0.0376327535434259,-0.3161647078280919,0.5869990965861552,-0.6275777226562559,2.500152587890625,Break,activity_rec_still,1
5,2018-03-12 16:45:00,43.71852132500001,10.422730058333334,0,4374.733324372759,0.3474300007308677,-8.169712903969922,-0.1930891659085564,0.3545262906189476,-8.064024746262776,-0.4087707702533461,0.0734929273128848,-0.0129357619176156,-0.1582667203347835,0.0039904151513474,-0.0985497993106643,0.2184613553504459,-0.3917275683189412,0.3849458721691675,-0.2794984848213305,0.25,Break,activity_rec_unknown,3
6,2018-03-12 17:00:00,43.71836951428572,10.4215415,1,242.2914550177315,-3.05227694783892,4.72031423160008,0.2014791658946445,-2.3752101815500146,3.6919515014477473,1.4394121670951514,0.0074593101695949,-0.0096485330542168,-0.0018044431061454,0.0093937683070545,0.0181306395400217,0.0162815737179375,0.0063746445621083,0.541449196231307,-0.0226008369523482,2.500152587890625,Working,activity_rec_still,1
7,2018-03-12 17:00:00,43.719585830769226,10.42346812307692,0,5627.266666666668,-0.0318734616548037,0.0066896153948842,9.94483031126169,-0.0303165143884297,0.0024435078787965,9.80653990818904,0.041408513393253,0.0080981370002532,-0.000424480925173,-0.0016073913039424,0.004271988766925,0.1383144026536207,-0.0014857112859624,0.0004279037805805,0.9807017034062973,1.0,Working,activity_rec_still,3
8,2018-03-12 17:15:00,43.719725826666654,10.422863406666664,0,4419.328384340299,-0.0236386668481863,-0.0397529991068874,9.280955917301275,0.0053815019023714,-0.0402909205228088,9.152593978492543,0.0347833283915339,0.0115623945989354,0.0008432809547036,-0.0288112579311612,0.0008418657087228,0.1326173021048307,-0.0211328559397783,0.0154406358857833,0.4865673536777807,0.8,Working,activity_rec_still,3
9,2018-03-12 17:30:00,43.71991739999999,10.4220359,0,7566.0,-2.875161252321268,-9.065225638374686,1.774219377902045,-2.7954340889578453,-8.934053267538548,1.7274685223141573,0.0330514751733062,0.0150925095441743,-0.0524718562431916,-0.0775467050913723,-0.1311228069663048,0.0415876704547554,-0.4449463875215314,0.1653071487062971,-0.0328807885408425,0.0,Free time,activity_rec_on_foot,3
10,2018-03-12 17:30:00,43.7199174,10.4220359,0,2334.4050000000007,0.4116825010348107,-4.827960005645873,4.790692457787228,0.4357398928282786,-4.84434572103899,4.720326713907998,0.5035061942948955,0.9938069531146908,-1.1366433524586343,-0.0298141597618813,0.0095814099349081,0.0789213853515682,-0.3226202421668154,0.0728527533246962,-0.5313728652792086,0.25,Working,activity_rec_still,3
11,2018-03-12 17:45:00,43.715838975,10.4212502,0,7566.0,-2.990803746915772,-8.444626245182008,2.650165001004935,-2.945592541604419,-8.380206772007515,2.633013783259447,0.0965425999243598,0.1974616969717318,0.0212914668967278,-0.0441576186195015,-0.0688977775350212,0.0242207522317767,-0.4821374865341931,0.0753245206334395,0.112507559510923,0.0,Free time,activity_rec_on_bicycle,3
